id,ahu,air,airCooling,airRef,area,boiler,bypass,chilled,chilledWaterCooling,chilledWaterRef,chiller,cmd,computed,cool,cooling,cur,damper,daytime,delta,directZone,dis,discharge,domestic,effective,elecHeating,enable,entering,enum,equip,equipRef,exhaust,fan,fanPowered,fcu,flow,geoAddr,geoCity,geoCoord,geoCountry,geoCounty,geoPostalCode,geoState,geoStreet,heat,heating,his,hot,hotWaterHeating,hotWaterRef,humidifier,humidity,hvac,kind,leaving,maxVal,minVal,mixed,outside,plant,primaryLoop,point,pointFunction,pressure,primaryFunction,pump,return,rtu,run,sensor,singleDuct,site,siteRef,sp,space,spaceRef,speed,steam,temp,thermostat,tz,unit,valve,vav,vavZone,water,weather,weatherCond,weatherStationRef,weatherStation,yearBuilt,zone,custom
@b-008d,"","","","","","","","","","","",✓,"","","",✓,"","","","",Bravo EF-9 Exhaust Fan Enable,"","","","",✓,"","","",@b-008c,✓,✓,"","","","","","","","","","","","","",✓,"","","","","","",Bool,"","","","","","","",✓,"","","","","","","","","","",@b-0000,"","",@b-00a4,"","","","",Chicago,"","","","","","","","","","","","{sourcePointName:EFSS, dataSyncRecovered:2020-07-10T01:00:10.745-04:00 New_York, inScope, backgroundPoint}"
@b-008e,"","","","","","","","","","","","","","","",✓,"","","","",Bravo EF-9 Exhaust Fan Status,"","","","","","","","",@b-008c,✓,✓,"","","","","","","","","","","","","",✓,"","","","","","",Bool,"","","","","","","",✓,"","","","","","",✓,✓,"","",@b-0000,"","",@b-00a4,"","","","",Chicago,"","","","","","","","","","","","{dataSyncDownSince:2020-07-02T01:00:04.305-04:00 New_York, sourcePointName:EFStatus, dataSyncType:error, pointType:, inScope, backgroundPoint}"
@b-008f,"","","","","","","","",✓,@b-001e,"","","","","","","","","",✓,Bravo FCU-1,"","","",✓,"","","",✓,"","","","",✓,"","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","",✓,"",@b-0000,"","",@b-00a3,"","","",✓,"","","","","","","","","","","",✓,""
@b-0090,"","","","","","","",✓,"","","","","",✓,"",✓,"","","","",Bravo FCU-1 Cooling Valve Output,"","","","","","","","",@b-008f,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-00a3,"","","","",Chicago,%,✓,"","",✓,"","","","","","","{sourcePointName:ChwVlv, dataSyncRecovered:2020-07-10T01:00:13.145-04:00 New_York, inScope, backgroundPoint}"
@b-0091,"","","","","","","","","","","","","","","",✓,"","","","",Bravo FCU-1 Heating Valve Output,"","","","","","","","",@b-008f,"","","","","","","","","","","","","",✓,"",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-00a3,"","","","",Chicago,%,✓,"","","","","","","","","","{precision:0, dataSyncRecovered:2020-07-10T01:00:09.627-04:00 New_York, backgroundPoint}"
@b-0092,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo FCU-1 Zone Temperature,"","","","","","","","",@b-008f,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-00a3,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{sourcePointName:SpcTemp, dataSyncRecovered:2020-07-10T01:00:10.003-04:00 New_York, inScope, backgroundPoint}"
@b-0093,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo FCU-1 Zone Temperature Setpoint,"","","","","","","","",@b-008f,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"",327,-273,"","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-00a3,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{precision:2, dataSyncRecovered:2020-07-10T01:00:10.87-04:00 New_York, backgroundPoint}"
@b-0094,"","","","","","","","",✓,@b-001e,"","","","","","","","","",✓,Bravo FCU-2,"","","",✓,"","","",✓,"","","","",✓,"","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","",✓,"",@b-0000,"","",@b-00a3,"","","",✓,"","","","","","","","","","","",✓,""
@b-0095,"","","","","","","",✓,"","","","","",✓,"",✓,"","","","",Bravo FCU-2 Cooling Valve Output,"","","","","","","","",@b-0094,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-00a3,"","","","",Chicago,%,✓,"","",✓,"","","","","","","{sourcePointName:ChwVlv, dataSyncRecovered:2020-07-10T01:00:10.745-04:00 New_York, inScope, backgroundPoint}"
@b-0096,"","","","","","","","","","","","","","","",✓,"","","","",Bravo FCU-2 Heating Valve Output,"","","","","","","","",@b-0094,"","","","","","","","","","","","","",✓,"",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-00a3,"","","","",Chicago,%,✓,"","","","","","","","","","{precision:0, dataSyncRecovered:2020-07-10T01:00:11.258-04:00 New_York, backgroundPoint}"
@b-0097,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo FCU-2 Zone Temperature,"","","","","","","","",@b-0094,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-00a3,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{sourcePointName:SpcTemp, dataSyncRecovered:2020-07-10T01:00:10.995-04:00 New_York, inScope, backgroundPoint}"
@b-0098,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo FCU-2 Zone Temperature Setpoint,"","","","","","","","",@b-0094,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"",327,-273,"","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-00a3,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{precision:2, dataSyncRecovered:2020-07-10T01:00:10.126-04:00 New_York, backgroundPoint}"
@b-0099,"","","","","","","","",✓,@b-001e,"","","","","","","","","",✓,Bravo FCU-3,"","","",✓,"","","",✓,"","","","",✓,"","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","",✓,"",@b-0000,"","",@b-00a3,"","","",✓,"","","","","","","","","","","",✓,""
@b-009a,"","","","","","","",✓,"","","","","",✓,"",✓,"","","","",Bravo FCU-3 Cooling Valve Output,"","","","","","","","",@b-0099,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-00a3,"","","","",Chicago,%,✓,"","",✓,"","","","","","","{sourcePointName:ChwVlv, dataSyncRecovered:2020-07-10T01:00:09.627-04:00 New_York, inScope, backgroundPoint}"
@b-009b,"","","","","","","","","","","","","","","",✓,"","","","",Bravo FCU-3 Heating Valve Output,"","","","","","","","",@b-0099,"","","","","","","","","","","","","",✓,"",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-00a3,"","","","",Chicago,%,✓,"","","","","","","","","","{precision:0, dataSyncRecovered:2020-07-10T01:00:09.752-04:00 New_York, backgroundPoint}"
@b-009c,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo FCU-3 Zone Temperature,"","","","","","","","",@b-0099,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-00a3,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{sourcePointName:SpcTemp, dataSyncRecovered:2020-07-10T01:00:09.752-04:00 New_York, inScope, backgroundPoint}"
@b-009d,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo FCU-3 Zone Temperature Setpoint,"","","","","","","","",@b-0099,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"",327,-273,"","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-00a3,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{precision:2, dataSyncRecovered:2020-07-10T01:00:10.995-04:00 New_York, backgroundPoint}"
@b-009e,"","","","","","","","",✓,@b-001e,"","","","","","","","","",✓,Bravo FCU-4,"","","",✓,"","","",✓,"","","","",✓,"","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","",✓,"",@b-0000,"","",@b-00a3,"","","",✓,"","","","","","","","","","","",✓,""
@b-009f,"","","","","","","",✓,"","","","","",✓,"",✓,"","","","",Bravo FCU-4 Cooling Valve Output,"","","","","","","","",@b-009e,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-00a3,"","","","",Chicago,%,✓,"","",✓,"","","","","","","{sourcePointName:ChwVlv, dataSyncRecovered:2020-07-10T01:00:10.62-04:00 New_York, inScope, backgroundPoint}"
@b-00a0,"","","","","","","","","","","","","","","",✓,"","","","",Bravo FCU-4 Heating Valve Output,"","","","","","","","",@b-009e,"","","","","","","","","","","","","",✓,"",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-00a3,"","","","",Chicago,%,✓,"","","","","","","","","","{precision:0, dataSyncRecovered:2020-07-10T01:00:10.62-04:00 New_York, backgroundPoint}"
@b-00a1,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo FCU-4 Zone Temperature,"","","","","","","","",@b-009e,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-00a3,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{sourcePointName:SpcTemp, dataSyncRecovered:2020-07-10T01:00:09.752-04:00 New_York, inScope, backgroundPoint}"
@b-00a2,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo FCU-4 Zone Temperature Setpoint,"","","","","","","","",@b-009e,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"",327,-273,"","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-00a3,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{precision:2, dataSyncRecovered:2020-07-10T01:00:09.752-04:00 New_York, backgroundPoint}"
@b-00a3,"","","","","","","","","","","","","","","","","","","","",Bravo FCUs,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",@b-0000,"",✓,"","","","","","","","","","","","","","","","","",{equipType}
@b-00a4,"","","","","","","","","","","","","","","","","","","","",Bravo Fans,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",@b-0000,"",✓,"","","","","","","","","","","","","","","","","",{equipType}
@b-00a5,"","","","","","","","","","","","","","","","","","","","",Bravo HHW Pump 1,"","","","","","","",✓,"","","","","","","","","","","","","","","","","",✓,"","","","",✓,"","","","","","","","","","","","",✓,"","","","","","",@b-0000,"","",@b-00ab,"","","","","","","","","",✓,"","","","","","",""
@b-00a6,"","","","","","","","","","","","","","","",✓,"","","","",Bravo HHW Pump 1 HHW Pump Status,"","","","","","","false,true","",@b-00a5,"","","","","","","","","","","","","","","",✓,✓,"","","","","",Bool,"","","","","","","",✓,"","","",✓,"","","",✓,"","",@b-0000,"","",@b-00ab,"","","","",Chicago,"","","","",✓,"","","","","","","{dataSyncRecovered:2020-07-10T01:00:10.995-04:00 New_York, backgroundPoint, status}"
@b-00a7,"","","","","","","","","","","","","","","",✓,"","","","",Bravo HHW Pump 1 HHW Pump VFD Speed,"","","","","","","","",@b-00a5,"","","","","","","","","","","","","","","",✓,✓,"","","","","",Number,"","","","","","","",✓,"","","",✓,"","","",✓,"","",@b-0000,"","",@b-00ab,✓,"","","",Chicago,"","","","",✓,"","","","","","","{precision:2, dataSyncRecovered:2020-07-10T01:00:10.497-04:00 New_York, backgroundPoint}"
@b-00a8,"","","","","","","","","","","","","","","","","","","","",Bravo HHW Pump 2,"","","","","","","",✓,"","","","","","","","","","","","","","","","","",✓,"","","","",✓,"","","","","","","","","","","","",✓,"","","","","","",@b-0000,"","",@b-00ab,"","","","","","","","","",✓,"","","","","","",""
@b-00a9,"","","","","","","","","","","","","","","",✓,"","","","",Bravo HHW Pump 2 HHW Pump Status,"","","","","","","false,true","",@b-00a8,"","","","","","","","","","","","","","","",✓,✓,"","","","","",Bool,"","","","","","","",✓,"","","",✓,"","","",✓,"","",@b-0000,"","",@b-00ab,"","","","",Chicago,"","","","",✓,"","","","","","","{dataSyncRecovered:2020-07-10T01:00:10.374-04:00 New_York, backgroundPoint, status}"
@b-00aa,"","","","","","","","","","","","","","","",✓,"","","","",Bravo HHW Pump 2 HHW Pump VFD Speed,"","","","","","","","",@b-00a8,"","","","","","","","","","","","","","","",✓,✓,"","","","","",Number,"","","","","","","",✓,"","","",✓,"","","",✓,"","",@b-0000,"","",@b-00ab,✓,"","","",Chicago,"","","","",✓,"","","","","","","{precision:2, dataSyncRecovered:2020-07-10T01:00:10.62-04:00 New_York, backgroundPoint}"
@b-00ab,"","","","","","","","","","","","","","","","","","","","",Bravo HW System,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",@b-0000,"",✓,"","","","","","","","","","","","","","","","","",{equipType}
@b-00ac,✓,"","","","","","","",✓,"","","","","","","","","","","",Bravo RTU-1,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","",✓,"","",✓,"",@b-0000,"","",@b-0135,"","","","","","","","",✓,"","","","","","","","{designDischargeAirFlow:15300cfm, steamHumidifier, designHotWaterLeavingTemp:65°F, designHotWaterPower:145MMBTU/h, designOutsideAirFlowMin:3500cfm, designDischargeFanAirDeltaPressure:7.04inH₂O, designSource:Drawings, designChilledWaterLeavingTemp:59°F, designChilledWaterPower:722.3MMBTU/h, designHotWaterFlow:24.1gal/min, designChilledWaterFlow:96.4gal/min, designReturnAirFlow:15300cfm, designHotWaterEnteringTemp:75°F, designOutsideAirFlow:15300cfm, designReturnFanPower:15hp, designChilledWaterEnteringTemp:44°F, designDischargeFanPower:40hp, designReturnFanAirDeltaPressure:1.66inH₂O}"
@b-00ad,"","","","","","","","","","","","",✓,"","","","","","","",Bravo RTU-1 AHU Operation Mode,"","","","","","","","",@b-00ac,"","","","","","","","","","","","","","","",✓,"","","","","","",Str,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-0135,"","","","",Chicago,"","","","","","","","","","","","{mode, dataSyncRecovered:2020-07-14T01:00:05.167-04:00 New_York, backgroundPoint}"
@b-00ae,"","","","","","","",✓,"","","",✓,"",✓,"",✓,"","","","",Bravo RTU-1 Cooling Valve Output,"","","","","","","","",@b-00ac,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,"","",@b-0135,"","","","",Chicago,%,✓,"","",✓,"","","","","","","{sourcePointName:CWV, dataSyncRecovered:2020-07-10T01:00:10.126-04:00 New_York, inScope, backgroundPoint}"
@b-00af,"",✓,"","","","","","","","","","","","","",✓,✓,"","","",Bravo RTU-1 Exhaust Air Damper Output,"","","","","","","","",@b-00ac,✓,"","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-0135,"","","","",Chicago,%,"","","","","","","","","","","{sourcePointName:EAD, dataSyncRecovered:2020-07-10T01:00:10.745-04:00 New_York, inScope, backgroundPoint}"
@b-00b0,"","","","","","","","","","","","","","","","","","","","",Bravo RTU-1 Fan Power (Auto-computed),"","","","","","","","",@b-00ac,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"","","","","","",Chicago,"","","","","","","","","","","","{cache, dataSyncDownSince:2020-04-09T01:00:02.664-04:00 New_York, dataSyncType:error, backgroundPoint}"
@b-00b1,"","","","","","","","","","","","","","","","","","","","",Bravo RTU-1 Heating/Cooling Load (Auto-computed),"","","","","","","","",@b-00ac,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-0135,"","","","",Chicago,BTU/h,"","","","","","","","","","","{cache, dataSyncRecovered:2020-07-14T01:00:05.167-04:00 New_York, backgroundPoint}"
@b-00b2,"","","","","","","","","","","",✓,"","","",✓,"","","","",Bravo RTU-1 Humidifier Enable,"","","","",✓,"","","",@b-00ac,"","","","","","","","","","","","","","","",✓,"","","",✓,"","",Bool,"","","","","","","",✓,"","","","","","","","","","",@b-0000,"","",@b-0135,"","","","",Chicago,"","","","","","","","","","","","{sourcePointName:HUM_ENABLE, dataSyncRecovered:2020-07-10T01:00:10.374-04:00 New_York, inScope, backgroundPoint}"
@b-00b3,"","","","","","","","","","","",✓,"","","",✓,"","","","",Bravo RTU-1 Humidifier Output,"","","","","","","","",@b-00ac,"","","","","","","","","","","","","","","",✓,"","","",✓,"","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,"","",@b-0135,"",✓,"","",Chicago,%,✓,"","","","","","","","","","{sourcePointName:HUM VLV, dataSyncRecovered:2020-07-10T01:00:10.87-04:00 New_York, inScope, backgroundPoint}"
@b-00b4,"","","","","","","","","","","",✓,✓,"","","",✓,"","","",Bravo RTU-1 Max Damper Position,"","","","","","","","",@b-00ac,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,"","",@b-0135,"","","","",Chicago,%,"","","","","","","","","","","{max, dataSyncRecovered:2020-07-14T01:00:05.167-04:00 New_York, backgroundPoint}"
@b-00b5,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo RTU-1 Min Outdoor Air Flow Setpoint,"","","","","","","","",@b-00ac,"","","","",✓,"","","","","","","","","","",✓,"","","","","","",Number,"","","","",✓,"","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-0135,"","","","",Chicago,%,"","","","","","","","","","","{min, sourcePointName:MinOA_SP, dataSyncRecovered:2020-07-10T01:00:10.249-04:00 New_York, pointType:, inScope, backgroundPoint}"
@b-00b6,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo RTU-1 Min Outdoor Air Flow/10,"","","","","","","","",@b-00ac,"","","","",✓,"","","","","","","","","","",✓,"","","","","","",Number,"","","","",✓,"","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-0135,"","","","",Chicago,cfm,"","","","","","","","","","","{min, sourcePointName:MIN OA CFM / 10, dataSyncRecovered:2020-07-10T01:00:10.003-04:00 New_York, inScope, backgroundPoint}"
@b-00b7,"",✓,"","","","","","","","","","","","","",✓,✓,"","","",Bravo RTU-1 Minimum Outside Air Damper Output,"","","","","","","","",@b-00ac,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-0135,"","","","",Chicago,%,"","","","","","","","","","","{sourcePointName:Min OAD, dataSyncRecovered:2020-07-10T01:00:07.598-04:00 New_York, inScope, outsideMin, backgroundPoint}"
@b-00b8,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo RTU-1 Mixed Air Temperature,"","","","","","","","",@b-00ac,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","",✓,"","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-0135,"","",✓,"",Chicago,°F,"","","","","","","","","","","{sourcePointName:MAT, dataSyncRecovered:2020-07-10T01:00:10.745-04:00 New_York, inScope, backgroundPoint}"
@b-00b9,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo RTU-1 Mixed Air Temperature Setpoint,"","","","","","","","",@b-00ac,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","",✓,"","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-0135,"","",✓,"",Chicago,°F,"","","","","","","","","","","{sourcePointName:MAT STPT, dataSyncRecovered:2020-07-10T01:00:10.003-04:00 New_York, inScope, backgroundPoint}"
@b-00ba,"",✓,"","","","","","","","","",✓,"","","",✓,✓,"","","",Bravo RTU-1 Outside Air Damper Output,"","","","","","","","",@b-00ac,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","",✓,"","",✓,"","","","","","","","","","",@b-0000,"","",@b-0135,"","","","",Chicago,%,"","","","","","","","","","","{sourcePointName:OAD, dataSyncRecovered:2020-07-10T01:00:10.249-04:00 New_York, inScope, backgroundPoint}"
@b-00bb,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo RTU-1 Outside Air Flow,"","","","","","","","",@b-00ac,"","","","",✓,"","","","","","","","","","",✓,"","","","","","",Number,"","","","",✓,"","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-0135,"","","","",Chicago,cfm,"","","","","","","","","","","{sourcePointName:OA CFM, dataSyncRecovered:2020-07-10T01:00:10.745-04:00 New_York, inScope, backgroundPoint}"
@b-00bc,"","","","","","","","","","","","","","","","","","","","",Bravo RTU-1 Outside Air Percentage (Auto-computed),"","","","","","","","",@b-00ac,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"","","","","","",Chicago,"","","","","","","","","","","","{cache, dataSyncDownSince:2020-04-09T01:00:02.656-04:00 New_York, dataSyncType:error, backgroundPoint}"
@b-00bd,"",✓,"","","","","","","","","","",✓,"","","","","","","",Bravo RTU-1 Percent Outside Air,"","","","","","","","",@b-00ac,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","",✓,"","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-0135,"","",✓,"",Chicago,%,"","","","","","","","","","","{dataSyncRecovered:2020-07-14T01:00:05.167-04:00 New_York, backgroundPoint}"
@b-00be,"",✓,"","","","","","","","","","","","","",✓,✓,"","","",Bravo RTU-1 Return Air Damper Output,"","","","","","","","",@b-00ac,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","",✓,"","",✓,"","",@b-0000,"","",@b-0135,"","","","",Chicago,%,"","","","","","","","","","","{sourcePointName:RET/REL DAMPER, dataSyncRecovered:2020-07-10T01:00:11.125-04:00 New_York, inScope, backgroundPoint}"
@b-00bf,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo RTU-1 Return Air Flow,"","","","","","","","",@b-00ac,"","","","",✓,"","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","",✓,"","",✓,"","",@b-0000,"","",@b-0135,"","","","",Chicago,cfm,"","","","","","","","","","","{sourcePointName:RA CFM, dataSyncRecovered:2020-07-10T01:00:10.374-04:00 New_York, inScope, backgroundPoint}"
@b-00c0,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo RTU-1 Return Air Humidity,"","","","","","","","",@b-00ac,"","","","","","","","","","","","","","","",✓,"","","","",✓,"",Number,"","","","","","","",✓,"","","","",✓,"","",✓,"","",@b-0000,"","",@b-0135,"","","","",Chicago,%,"","","","","","","","","","","{sourcePointName:RAH, dataSyncRecovered:2020-07-10T01:00:09.627-04:00 New_York, inScope, backgroundPoint}"
@b-00c1,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo RTU-1 Return Air Temperature,"","","","","","","","",@b-00ac,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","",✓,"","",✓,"","",@b-0000,"","",@b-0135,"","",✓,"",Chicago,°F,"","","","","","","","","","","{sourcePointName:RAT, dataSyncRecovered:2020-07-10T01:00:11.258-04:00 New_York, inScope, backgroundPoint}"
@b-00c2,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo RTU-1 Return Fan Status,"","","","","","","","",@b-00ac,"",✓,"","","","","","","","","","","","","",✓,"","","","","","",Bool,"","","","","","","",✓,"","","","",✓,"",✓,✓,"","",@b-0000,"","",@b-0135,"","","","",Chicago,"","","","","","","","","","","","{sourcePointName:RF FAN STATUS, dataSyncRecovered:2020-07-10T01:00:10.995-04:00 New_York, inScope, backgroundPoint}"
@b-00c3,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo RTU-1 Return Fan VFD Speed,"","","","","","","","",@b-00ac,"",✓,"","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","",✓,"","",✓,"","",@b-0000,"","",@b-0135,✓,"","","",Chicago,%,"","","","","","","","","","","{sourcePointName:ACT_OUTPUT_SPEED, dataSyncRecovered:2020-07-10T01:00:07.721-04:00 New_York, inScope, backgroundPoint}"
@b-00c4,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo RTU-1 Supply Air Flow,✓,"","","","","","","",@b-00ac,"","","","",✓,"","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-0135,"","","","",Chicago,cfm,"","","","","","","","","","","{sourcePointName:SA CFM, dataSyncRecovered:2020-07-10T01:00:10.745-04:00 New_York, inScope, backgroundPoint}"
@b-00c5,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo RTU-1 Supply Air Humidity,✓,"","","","","","","",@b-00ac,"","","","","","","","","","","","","","","",✓,"","","","",✓,"",Number,"","","","","","","",✓,sensor,"","","","","","",✓,"","",@b-0000,"","",@b-0135,"","","","",Chicago,%,"","","","","","","","","","","{sourcePointName:DAH, dataSyncRecovered:2020-07-10T01:00:09.879-04:00 New_York, inScope, backgroundPoint}"
@b-00c6,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo RTU-1 Supply Air Humidity Setpoint,✓,"","","","","","","",@b-00ac,"","","","","","","","","","","","","","","",✓,"","","","",✓,"",Number,"","","","","","","",✓,sp,"","","","","","","","","",@b-0000,✓,"",@b-0135,"","","","",Chicago,%,"","","","","","","","","","","{sourcePointName:Humidity SP, dataSyncRecovered:2020-07-10T01:00:09.752-04:00 New_York, inScope, backgroundPoint}"
@b-00c7,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo RTU-1 Supply Air Pressure Setpoint,✓,"","","","","","","",@b-00ac,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"",✓,"","","","","","","","",@b-0000,✓,"",@b-0135,"","","","",Chicago,inH₂O,"","","","","","","","","","","{static, sourcePointName:Static Stpt, dataSyncRecovered:2020-07-10T01:00:13.145-04:00 New_York, inScope, backgroundPoint}"
@b-00c8,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo RTU-1 Supply Air Static Pressure,✓,"","","","","","","",@b-00ac,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"",✓,"","","","","",✓,"","",@b-0000,"","",@b-0135,"","","","",Chicago,inH₂O,"","","","","","","","","","","{sourcePointName:DISCH STATIC, dataSyncRecovered:2020-07-10T01:00:09.879-04:00 New_York, inScope, backgroundPoint}"
@b-00c9,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo RTU-1 Supply Air Temperature,✓,"","","","","","","",@b-00ac,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-0135,"","",✓,"",Chicago,°F,"","","","","","","","","","","{sourcePointName:DAT, dataSyncRecovered:2020-07-10T01:00:10.745-04:00 New_York, inScope, backgroundPoint}"
@b-00ca,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo RTU-1 Supply Air Temperature Setpoint,✓,"","","","","","","",@b-00ac,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-0135,"","",✓,"",Chicago,°F,"","","","","","","","","","","{sourcePointName:DAT STPT, dataSyncRecovered:2020-07-10T01:00:11.258-04:00 New_York, inScope, backgroundPoint}"
